year,month,day_of_month,day_of_week,fl_date,mkt_unique_carrier,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,dep_del15,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,arr_del15,crs_elapsed_time,actual_elapsed_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,origin_ca,is_weekday,external_cause,TMAX,TMIN,TAVG,PRCP,AWND,WSF2,WT01,WT08
2020,6,1,1,2020-06-01,UA,14679,14771,800,754.0,-6.0,0.0,19.0,4.0,948,919.0,-29.0,0.0,108.0,85.0,447.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,HA,12173,14771,1515,1524.0,9.0,0.0,13.0,6.0,2320,2330.0,10.0,0.0,305.0,306.0,2398.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,14107,14771,1445,1444.0,-1.0,0.0,11.0,4.0,1657,1632.0,-25.0,0.0,132.0,108.0,651.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,WN,10800,14771,1200,1155.0,-5.0,0.0,7.0,3.0,1325,1255.0,-30.0,0.0,85.0,60.0,326.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,11292,14771,1830,1818.0,-12.0,0.0,11.0,4.0,2020,1941.0,-39.0,0.0,170.0,143.0,967.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,14689,14771,800,751.0,-9.0,0.0,7.0,4.0,916,843.0,-33.0,0.0,76.0,52.0,262.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,12892,14771,1445,1442.0,-3.0,0.0,10.0,3.0,1622,1545.0,-37.0,0.0,97.0,63.0,337.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,13930,14771,700,650.0,-10.0,0.0,17.0,4.0,948,909.0,-39.0,0.0,288.0,259.0,1846.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,10157,14771,1530,1520.0,-10.0,0.0,2.0,2.0,1644,1609.0,-35.0,0.0,74.0,49.0,250.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,14262,14771,1500,1448.0,-12.0,0.0,10.0,3.0,1645,1606.0,-39.0,0.0,105.0,78.0,421.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,DL,14747,14771,915,907.0,-8.0,0.0,10.0,15.0,1131,1112.0,-19.0,0.0,136.0,125.0,679.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,B6,12478,14771,1550,1602.0,12.0,0.0,11.0,3.0,1944,1852.0,-52.0,0.0,414.0,350.0,2586.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,DL,12892,14771,745,737.0,-8.0,0.0,10.0,3.0,904,838.0,-26.0,0.0,79.0,61.0,337.0,,,,,,1,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
2020,6,1,1,2020-06-01,UA,13930,14771,1800,1751.0,-9.0,0.0,36.0,3.0,2045,2037.0,-8.0,0.0,285.0,286.0,1846.0,,,,,,0,1,0,72.0,55.0,62.0,0.0,12.1,23.9,1,1.0
