Participant Video on,Participant Mic On,Participant Screen Share,Others Video on,Others Screen Share,Window Minimized,Group,Download,Upload,Total,start_day,start_hr,start_min,end_day,end_hr,end_min,duration_sec,avg_download_speed,avg_upload_speed,google_meet,hangouts,mixlr,zoom
0,0,0,0,1,0,1,41.1,9.3,50.5,8,9,0,8,10,0,3600,0.09133333333333334,0.020666666666666667,0,0,0,1
0,0,0,1,1,0,1,283.6,19.4,303.1,8,10,0,8,11,50,6600,0.34375757575757576,0.023515151515151513,0,0,0,1
1,0,0,1,1,0,1,145.7,8.8,154.5,8,12,0,8,13,10,4200,0.2775238095238095,0.016761904761904763,1,0,0,0
0,0,0,1,1,0,1,99.1,3.1,102.3,10,10,0,10,10,30,1800,0.4404444444444444,0.013777777777777778,0,0,0,1
0,1,0,0,0,0,1,20.4,16.1,36.5,10,17,0,10,17,33,1980,0.08242424242424241,0.06505050505050505,0,0,0,1
0,0,0,0,1,0,1,38.0,7.0,45.0,15,9,0,15,10,0,3600,0.08444444444444445,0.015555555555555555,0,0,0,1
0,0,0,1,1,0,1,162.5,7.5,170.0,15,10,57,15,12,0,3780,0.3439153439153439,0.015873015873015872,0,0,0,1
0,0,0,0,1,0,1,137.6,7.3,144.8,15,11,58,15,13,30,5520,0.19942028985507246,0.010579710144927536,1,0,0,0
0,0,0,0,0,1,1,52.3,7.5,59.8,19,11,53,19,12,18,1500,0.2789333333333333,0.04,0,0,0,1
0,1,0,1,1,0,1,127.4,6.7,131.5,21,10,0,21,10,28,1680,0.6066666666666667,0.03190476190476191,0,0,0,1
0,1,0,1,1,0,1,136.6,12.5,149.1,21,12,0,21,12,37,2220,0.4922522522522522,0.04504504504504504,0,0,0,1
0,1,0,0,0,1,1,30.2,2.9,33.1,21,12,37,21,12,55,1080,0.2237037037037037,0.02148148148148148,0,0,0,1
0,0,0,0,1,1,1,98.8,11.0,109.7,21,12,55,21,14,9,4440,0.178018018018018,0.01981981981981982,0,0,0,1
0,0,0,0,1,0,1,43.2,13.8,57.0,21,16,36,21,17,26,3000,0.11520000000000001,0.0368,0,0,0,1
0,0,0,0,1,0,1,69.0,10.0,79.0,22,9,1,22,10,33,5520,0.1,0.014492753623188406,0,0,0,1
0,0,0,0,1,0,1,56.3,3.5,59.8,22,12,2,22,12,49,2820,0.15971631205673759,0.009929078014184398,1,0,0,0
0,1,0,0,1,0,1,131.3,5.9,137.2,25,11,58,25,13,4,3960,0.2652525252525253,0.01191919191919192,0,0,0,1
0,1,0,1,1,0,1,25.8,53.5,79.2,25,16,30,25,16,56,1560,0.13230769230769232,0.2743589743589744,0,0,0,1
1,1,0,1,1,0,1,430.9,123.5,554.4,25,18,2,25,19,39,5820,0.5923024054982817,0.1697594501718213,0,0,0,1
0,0,0,0,0,0,0,9.7,0.053,9.75,26,10,30,26,11,7,2220,0.03495495495495495,0.000190990990990991,0,0,1,0
0,1,0,0,1,1,1,214.8,6.8,221.7,27,10,32,27,11,54,4920,0.34926829268292686,0.011056910569105691,0,0,0,1
0,0,0,1,1,0,1,126.1,10.3,136.3,27,12,0,27,12,53,3180,0.3172327044025157,0.025911949685534594,0,0,0,1
0,1,1,0,1,1,1,66.1,7.0,73.1,28,1,1,28,2,4,3780,0.13989417989417988,0.014814814814814815,0,0,0,1
1,1,0,1,1,0,1,151.6,8.1,159.8,28,10,5,28,10,56,3060,0.39633986928104575,0.021176470588235293,0,0,0,1
