Platform,Start Time,End Time,Duration,Participant Video on,Participant Mic On,Participant Screen Share,Others Video on,Others Screen Share,Window Minimized,Group,Download,Upload,Total
Zoom ,7/8/2020 9:00:00,7/8/2020 10:00:00,1:00:00,0,0,0,0,1,0,1,41.1,9.3,50.5
Zoom,7/8/2020 10:00:00,7/8/2020 11:50:00,1:50:00,0,0,0,1,1,0,1,283.6,19.4,303.1
Google Meet,7/8/2020 12:00:00,7/8/2020 13:10:00,1:10:00,1,0,0,1,1,0,1,145.7,8.8,154.5
Zoom,7/10/2020 10:00:00,7/10/2020 10:30:00,0:30:00,0,0,0,1,1,0,1,99.1,3.1,102.3
Zoom,7/10/2020 17:00:00,7/10/2020 17:33:00,0:33:00,0,1,0,0,0,0,1,20.4,16.1,36.5
Zoom,7/15/2020 9:00:00,7/15/2020 10:00:00,1:00:00,0,0,0,0,1,0,1,38,7,45
Zoom,7/15/2020 10:57:00,7/15/2020 12:00:00,1:03:00,0,0,0,1,1,0,1,162.5,7.5,170
Google Meet,7/15/2020 11:58:00,7/15/2020 13:30:00,1:32:00,0,0,0,0,1,0,1,137.6,7.3,144.8
Zoom,7/19/2020 11:53:00,7/19/2020 12:18:00,0:25:00,0,0,0,0,0,1,1,52.3,7.5,59.8
Zoom,7/21/2020 10:00:00,7/21/2020 10:28:00,0:28:00,0,1,0,1,1,0,1,127.4,6.7,131.5
Zoom,7/21/2020 12:00:00,7/21/2020 12:37:00,0:37:00,0,1,0,1,1,0,1,136.6,12.5,149.1
Zoom,7/21/2020 12:37:00,7/21/2020 12:55:00,0:18:00,0,1,0,0,0,1,1,30.2,2.9,33.1
Zoom,7/21/2020 12:55:00,7/21/2020 14:09:00,1:14:00,0,0,0,0,1,1,1,98.8,11,109.7
Zoom,7/21/2020 16:36:00,7/21/2020 17:26:00,0:50:00,0,0,0,0,1,0,1,43.2,13.8,57
Zoom,7/22/2020 9:01:00,7/22/2020 10:33:00,1:32:00,0,0,0,0,1,0,1,69,10,79
Google Meet,7/22/2020 12:02:00,7/22/2020 12:49,0:47:00,0,0,0,0,1,0,1,56.3,3.5,59.8
Zoom,7/25/2020 11:58:00,7/25/2020 13:04:00,1:06:00,0,1,0,0,1,0,1,131.3,5.9,137.2
Zoom,7/25/2020 16:30:00,7/25/2020 16:56:00,0:26:00,0,1,0,1,1,0,1,25.8,53.5,79.2
Zoom,7/25/2020 18:02:00,7/25/2020 19:39:00,1:37:00,1,1,0,1,1,0,1,430.9,123.5,554.4
Mixlr (audio),7/26/2020 10:30:00,7/26/2020 11:07:00,0:37:00,0,0,0,0,0,0,0,9.7,0.053,9.75
Zoom,7/27/2020 10:32:00,7/27/2020 11:54:00,1:22:00,0,1,0,0,1,1,1,214.8,6.8,221.7
Zoom,7/27/2020 12:00:00,7/27/2020 12:53:00,0:53:00,0,0,0,1,1,0,1,126.1,10.3,136.3
Zoom,7/28/2020 1:01:00,7/28/2020 2:04:00,1:03:00,0,1,1,0,1,1,1,66.1,7,73.1
Zoom,7/28/2020 10:05:00,7/28/2020 10:56:00,0:51:00,1,1,0,1,1,0,1,151.6,8.1,159.8
Free Conference Call,7/28/2020 10:08:00,7/28/2020 10:17:00,0:09:00,0,1,0,0,0,0,1,6.4,0.7,7.1
Zoom,7/29/2020 11:12:00,7/29/2020 12:00:00,0:48:00,1,1,0,1,0,0,1,73.5,3.3,76.8
Google Meet,7/29/2020 11:59:00,7/29/2020 13:10:00,1:11:00,1,1,0,0,1,0,1,168.9,7,176
Hangouts,7/29/2020 19:18:00,7/29/2020 20:06:00,0:48:00,0,1,1,0,1,0,0,9.8,36.4,46.3
Zoom,7/30/2020 9:44:00,7/30/2020 10:40:00,0:56:00,0,1,0,1,1,0,1,104.9,10.5,115.4
Zoom,8/1/2020 11:59:00,8/1/2020 13:27:00,1:28:00,1,1,1,1,1,0,1,256.6,22.8,279.4
Mixlr (audio),8/1/2020 20:05:00,8/1/2020 20:34:00,0:29:00,0,0,0,0,0,0,0,6.2,0.018,6.22
Mixlr (audio),8/2/2020 9:43:00,8/2/2020 11:31,1:48:00,0,0,0,0,0,0,0,13.7,0.036,13.74
Google Meet,8/2/2020 12:06:00,8/2/2020 14:05:00,1:59:00,0,1,1,0,1,0,1,104,47.9,151.9
Zoom,8/3/2020 10:04:00,8/3/2020 10:40:00,0:36:00,0,0,0,1,1,0,1,54.4,2.9,57.3
Zoom,8/3/2020 11:01,8/3/2020 11:53:00,0:52:00,0,0,0,0,1,0,1,32.7,10.2,43
Zoom,8/3/2020 12:00:00,8/3/2020 12:43:00,0:43:00,0,0,0,1,1,0,1,182.7,5.8,188.5
Zoom,8/4/2020 12:58:00,8/4/2020 14:08:00,1:10:00,0,1,0,0,1,0,1,60,12.4,72.4
Zoom,8/5/2020 9:11:00,8/5/2020 10:51:00,1:40:00,0,1,1,0,1,1,1,104.1,16.2,120.3
Zoom,8/5/2020 11:04,8/5/2020 12:01:00,0:57:00,0,0,0,1,1,0,1,119.7,6.5,126.1
Google Meet,8/5/2020 12:01:00,8/5/2020 12:42:00,0:41:00,0,0,0,0,1,0,1,17.5,3.4,20.9
Zoom,8/5/2020 15:24,8/5/2020 15:50,0:26:00,0,0,0,1,1,0,1,88.3,5,93.3
Mixlr (audio),8/5/2020 19:49:00,8/5/2020 20:18:00,0:29:00,0,0,0,0,0,0,0,6.3,0.037,6.34
Zoom,8/6/2020 12:06,8/6/2020 12:07,0:01:00,0,0,0,0,0,0,1,2.9,3.9,7.3
Zoom,8/6/2020 13:06:00,8/6/2020 15:16:00,2:10:00,0,1,1,1,1,0,1,274.1,102.3,376.4
Zoom,8/7/2020 9:59,8/7/2020 10:31,0:32:00,0,0,0,1,1,1,1,29.3,0.5,29.8
Google Meet,8/7/2020 23:47:00,8/8/2020 2:57,3:10:00,0,1,0,1,1,0,1,1250,24.8,1274.8
Zoom,8/8/2020 11:58:00,8/8/2020 13:08:00,1:10:00,0,0,0,1,1,0,1,121.7,4.8,126.5
Zoom,8/9/2020 10:04:00,8/9/2020 10:36:00,0:32:00,0,0,0,1,1,0,1,54.2,3.5,57.7
Mixlr (audio),8/9/2020 10:33,8/9/2020 11:38:00,1:05:00,0,0,0,0,0,0,0,13.9,0.04,13.94
Zoom,8/9/2020 12:07:00,8/9/2020 12:59,0:52:00,0,0,0,1,1,0,1,76.7,7.9,84.6
Zoom,8/9/2020 13:58:00,8/9/2020 17:29:00,3:31:00,0,1,1,1,1,0,1,265.5,70,335.5
Zoom,8/10/2020 12:33:00,8/10/2020 13:27:00,0:54:00,0,0,0,1,1,1,1,52.9,4.9,57.8
Zoom,8/10/2020 13:33,8/10/2020 14:54:00,1:21:00,0,1,1,0,1,1,1,81.6,39.1,120.6
Zoom,8/12/2020 10:08,8/12/2020 11:25:00,1:17:00,0,1,0,0,1,0,1,75.3,9.5,84.8
Zoom,8/12/2020 11:25:00,8/12/2020 11:57:00,0:32:00,0,0,0,1,1,0,1,86,1.7,87.7
Google Meet,8/12/2020 11:59:00,8/12/2020 12:36,0:37:00,0,1,0,0,0,0,1,11,2.8,13.8
Zoom,8/13/2020 12:07:00,8/13/2020 13:33:00,1:26:00,0,0,0,1,1,0,1,171.3,8.7,180
Mixlr (audio),8/13/2020 20:09:00,8/13/2020 22:00:00,1:51:00,0,0,0,0,0,0,0,22.5,0.046,22.55
Hangouts,8/13/2020 22:46:00,8/14/2020 1:52:00,3:06:00,0,1,0,0,0,0,0,29.1,26,55.1
Zoom,8/15/2020 12:01:00,8/15/2020 13:09:00,1:08:00,0,0,0,1,1,0,1,195.1,6.4,201.5
Mixlr (audio),8/16/2020 10:14:00,8/16/2020 11:36:00,1:22:00,0,0,0,0,0,0,0,18,0.011,18.011
Google Meet,8/16/2020 12:15:00,8/16/2020 12:26:00,0:11:00,0,1,0,0,0,0,1,4.7,1.2,5.9
Google Meet,8/16/2020 12:51:00,8/16/2020 15:50:00,2:59:00,0,1,1,0,0,0,0,32.6,272.5,305
Zoom,8/16/2020 17:07:00,8/16/2020 18:06:00,0:59:00,0,1,1,0,0,0,1,42.4,60.8,103.2
Zoom,8/17/2020 10:07:00,8/17/2020 10:39:00,0:32:00,0,0,0,0,1,1,1,46.3,2.1,48.4
