IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,BookingChanges,Agent,Company,DaysInWaitingList,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Corporate,Direct,TA/TO,Deposit,RoomTypeDifference,Contract,Group,Transient,Transient-Party
1,72,2016,December,53,30,1,2,2,0,0,1,0,0,0,0,0,0,0,159.0,0,0,0,1,0,0,0,0,0,1,0
0,2,2017,February,8,23,0,2,3,0,0,0,0,0,0,1,1,0,0,82.5,0,0,0,0,1,0,1,0,0,0,1
0,126,2016,September,38,16,2,5,2,0,0,1,0,0,0,1,1,0,0,93.0,0,0,0,0,1,0,0,0,0,1,0
1,122,2016,May,22,27,0,1,2,0,0,1,0,0,0,0,1,0,0,73.0,0,2,0,0,1,0,0,0,0,1,0
0,0,2015,December,49,3,0,1,2,0,0,1,0,0,0,0,0,0,0,43.0,0,1,0,1,0,0,1,0,0,1,0
1,222,2015,September,38,15,1,5,2,0,0,1,0,25,0,0,1,0,0,49.95,0,0,1,0,0,1,0,0,0,1,0
0,0,2015,November,47,19,0,1,2,0,0,1,0,0,0,0,0,0,0,43.0,1,0,0,1,0,0,0,0,0,1,0
0,2,2017,February,9,26,1,0,3,0,0,1,0,0,0,0,1,0,0,96.0,0,0,0,1,0,0,0,0,0,1,0
0,102,2017,August,34,21,2,5,2,0,0,1,0,0,0,0,1,0,0,281.43,1,0,0,0,1,0,0,0,0,1,0
1,7,2016,November,49,28,1,0,1,0,0,1,0,0,0,0,1,0,0,56.0,0,0,0,0,1,0,0,0,0,1,0
1,44,2015,December,49,5,2,1,2,0,0,1,0,0,0,0,1,0,0,70.0,0,0,0,0,1,0,0,0,0,0,1
1,159,2015,September,37,9,2,7,2,0,1,1,0,0,0,1,1,0,0,82.0,0,2,0,0,1,0,0,0,0,0,1
0,6,2015,August,32,7,0,2,2,0,0,1,0,0,0,0,1,0,0,211.0,0,1,0,0,1,0,1,0,0,1,0
1,14,2017,August,33,14,1,3,2,0,0,1,0,0,0,0,1,0,0,215.0,0,2,0,0,1,0,0,0,0,1,0
0,26,2017,August,34,24,2,4,3,0,0,0,0,0,0,1,1,0,0,350.75,0,1,0,1,0,0,0,0,0,1,0
0,214,2016,August,33,9,1,5,2,0,0,1,0,0,0,2,0,0,0,160.0,0,1,0,0,1,0,0,0,0,1,0
0,9,2015,October,44,30,0,1,1,0,0,1,0,0,0,0,0,0,0,76.0,0,1,0,1,0,0,0,0,0,1,0
0,234,2016,June,25,16,2,5,2,0,0,1,0,0,0,0,1,0,0,69.71,0,0,0,1,0,0,0,0,0,1,0
0,247,2017,June,25,18,2,5,2,0,0,1,0,0,0,0,1,0,0,80.76,0,0,0,0,1,0,0,0,0,1,0
0,183,2016,April,16,16,2,2,2,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,1,0,1,0,0,0,1
0,88,2015,September,38,16,1,4,2,0,0,1,0,0,0,0,1,0,0,93.17,0,1,0,0,1,0,0,0,0,1,0
0,0,2015,November,45,2,1,0,1,0,0,1,0,0,0,0,0,0,0,41.0,1,0,0,1,0,0,0,0,0,1,0
0,8,2015,July,31,29,0,0,2,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,0,0,0
0,2,2016,July,29,14,0,1,2,0,0,1,0,0,0,0,1,0,0,161.0,0,0,0,1,0,0,0,0,0,1,0
0,126,2016,March,13,23,0,2,2,0,0,1,0,0,0,0,1,0,0,58.0,1,2,0,0,1,0,1,0,0,1,0
0,2,2017,April,15,10,1,2,2,0,0,1,0,0,0,0,1,0,0,122.0,0,1,0,0,1,0,0,0,0,0,1
0,108,2017,April,16,22,0,1,2,0,0,1,0,0,0,0,0,0,0,74.25,0,2,0,0,1,0,0,0,0,1,0
0,0,2016,July,29,14,0,3,2,0,0,1,0,0,0,0,1,0,0,158.86,0,0,0,0,1,0,0,0,0,1,0
1,0,2017,August,33,14,1,0,2,0,0,1,0,0,0,0,1,0,0,225.0,0,0,0,1,0,0,0,0,0,1,0
0,343,2016,September,39,21,0,4,1,0,0,1,0,0,0,1,1,0,0,56.5,0,0,1,0,0,0,0,0,0,0,1
0,259,2017,January,2,9,1,4,2,0,0,1,0,0,0,0,1,0,0,55.8,0,2,0,0,1,0,0,0,0,1,0
0,13,2015,August,34,21,2,4,2,0,0,1,0,0,0,0,0,0,0,236.0,0,0,0,1,0,0,0,0,0,1,0
0,0,2016,February,7,10,0,1,2,0,0,1,1,0,0,0,1,0,0,29.0,0,0,0,0,1,0,0,0,0,1,0
0,98,2017,July,30,29,2,5,2,0,0,1,0,0,0,0,1,0,0,144.5,0,1,0,0,1,0,0,1,0,0,0
0,7,2017,March,9,2,1,3,1,0,0,1,0,0,0,1,0,1,0,47.0,0,0,1,0,0,0,0,0,0,0,1
0,0,2016,June,25,15,0,0,2,0,0,1,1,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,0,0,0
0,6,2017,February,8,20,1,1,1,0,0,1,0,0,0,0,1,0,0,40.32,0,0,0,0,1,0,0,0,0,1,0
0,11,2016,October,42,9,1,0,2,0,0,1,0,0,0,0,0,1,0,50.0,0,1,0,0,1,0,0,0,0,0,1
0,0,2017,May,19,9,0,1,2,0,0,1,0,0,0,0,1,0,0,65.0,1,0,0,0,1,0,1,0,0,1,0
0,2,2017,April,16,18,0,2,2,0,0,1,0,0,0,1,0,0,0,125.0,0,2,0,0,1,0,0,0,0,1,0
1,180,2017,July,29,22,2,5,2,0,0,1,0,0,0,1,1,0,0,187.52,0,0,0,1,0,0,0,0,0,1,0
1,224,2017,August,32,12,2,3,2,2,0,1,0,0,0,0,1,0,0,303.2,0,2,0,0,1,0,0,0,0,1,0
0,0,2017,January,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,64.0,0,0,0,1,0,0,0,0,0,1,0
0,5,2016,February,9,22,1,3,2,1,0,1,0,0,0,0,1,0,0,87.0,1,1,0,0,1,0,0,0,0,1,0
0,152,2016,December,52,24,1,1,2,0,0,1,0,0,0,1,1,0,0,84.02,0,1,0,1,0,0,0,0,0,1,0
0,108,2016,June,24,11,2,2,2,0,0,1,0,0,0,0,1,0,0,147.25,0,1,0,0,1,0,0,0,0,1,0
0,6,2015,December,49,1,0,2,1,0,0,1,0,0,0,0,0,1,0,42.0,1,0,1,0,0,0,1,0,0,0,1
0,107,2015,September,38,14,1,5,2,0,0,1,0,0,0,0,1,0,0,76.67,0,1,0,0,1,0,0,0,0,1,0
0,2,2017,January,4,25,0,1,1,0,0,1,1,0,4,0,0,1,0,35.0,0,0,0,0,1,0,1,0,0,1,0
1,80,2015,November,47,16,1,3,2,0,1,1,0,0,0,0,1,0,0,32.4,0,3,0,0,1,0,0,0,0,1,0
0,0,2015,November,46,8,1,0,1,0,0,1,0,0,1,0,0,0,0,53.0,0,0,0,1,0,0,1,0,0,1,0
1,119,2016,July,30,23,2,3,2,0,0,1,0,0,0,0,1,0,0,204.0,0,0,0,0,1,0,0,0,0,1,0
0,71,2017,May,21,26,0,1,2,0,0,1,0,0,0,0,1,0,0,130.0,0,1,0,1,0,0,0,0,0,1,0
0,236,2015,October,42,13,2,5,2,1,0,1,0,0,0,0,1,0,0,57.6,0,1,0,0,1,0,0,0,0,1,0
0,18,2017,February,7,13,1,0,2,0,0,1,0,0,0,0,1,0,0,58.0,0,1,0,0,1,0,0,0,0,0,1
1,358,2017,August,31,1,4,10,2,0,0,1,0,0,0,0,1,0,0,190.96,0,2,0,0,1,0,0,0,0,1,0
0,18,2016,October,42,11,0,1,1,0,0,1,0,0,0,0,0,0,0,59.5,0,0,1,0,0,0,0,0,0,1,0
0,17,2017,January,3,17,0,4,2,0,0,1,0,0,0,0,1,0,0,53.4,0,2,0,0,1,0,0,0,0,1,0
1,17,2017,August,34,26,2,4,2,0,0,1,0,0,0,1,1,0,0,262.38,0,0,0,1,0,0,0,0,0,1,0
1,152,2016,August,32,2,0,5,2,0,0,1,0,0,0,0,1,0,0,162.0,0,1,0,0,1,0,0,0,0,1,0
0,9,2015,November,45,2,1,2,2,0,0,1,0,0,0,0,1,0,0,48.0,0,0,0,0,1,0,1,0,0,1,0
0,52,2016,September,38,13,0,2,2,0,0,1,0,0,0,0,1,0,0,152.1,0,1,0,0,1,0,0,0,0,1,0
0,0,2016,February,8,15,1,0,2,0,0,1,0,0,0,0,1,0,0,54.0,1,0,0,0,1,0,1,0,0,1,0
1,60,2017,May,21,21,2,0,1,0,0,1,0,0,0,0,0,1,0,50.0,0,0,1,0,0,0,0,0,0,0,1
0,9,2016,May,21,15,1,0,3,0,0,1,1,0,1,1,0,0,0,99.0,0,1,0,0,1,1,0,0,0,0,1
0,198,2017,May,18,5,1,2,2,0,0,1,0,0,0,0,1,0,0,54.0,0,1,0,0,1,0,0,0,0,1,0
1,54,2015,July,30,25,2,3,2,0,0,1,0,0,0,0,1,0,0,134.0,0,0,0,0,1,0,0,0,0,1,0
0,3,2017,July,28,10,1,0,1,0,0,1,0,0,0,0,1,0,0,97.0,0,1,0,0,1,0,0,0,0,0,1
1,170,2016,July,27,2,2,1,3,0,0,1,0,0,0,0,1,0,0,114.65,0,3,0,0,1,0,0,0,0,1,0
0,59,2015,July,29,14,0,2,3,0,0,1,0,0,0,0,1,0,0,97.25,0,3,0,0,1,0,0,0,0,1,0
0,0,2016,February,8,17,0,1,2,0,0,1,0,0,0,2,0,0,0,43.0,0,0,0,1,0,0,0,0,0,1,0
0,193,2017,May,18,1,4,10,2,0,0,1,0,0,0,0,1,0,0,42.95,0,1,0,0,1,0,0,1,0,0,0
0,57,2016,March,13,26,0,1,2,0,0,1,0,0,0,0,1,0,0,58.0,0,0,0,0,1,0,0,0,0,1,0
0,154,2017,June,25,19,1,4,2,0,0,1,0,0,0,0,1,0,0,110.0,0,3,0,0,1,0,0,0,0,0,1
0,0,2017,May,19,8,1,0,2,0,0,1,0,0,0,0,1,0,0,92.0,0,1,0,0,1,0,0,0,0,1,0
0,9,2015,July,27,3,0,1,2,0,0,1,0,0,0,0,1,0,0,94.71,0,0,0,0,1,0,0,0,0,1,0
1,275,2015,October,41,4,2,0,2,0,0,1,0,26,0,0,1,0,0,50.0,0,0,0,0,1,1,0,0,0,1,0
0,9,2016,December,51,11,2,0,2,0,0,1,0,0,0,0,1,0,0,35.12,0,2,0,0,1,0,1,0,0,1,0
0,0,2015,November,47,15,1,0,2,0,0,1,0,0,0,0,0,0,0,59.0,1,0,0,1,0,0,1,0,0,1,0
0,0,2016,December,51,16,0,2,2,0,0,1,0,0,0,0,1,0,0,45.6,0,1,0,0,1,0,0,0,0,1,0
1,180,2016,August,32,1,2,5,2,1,0,0,0,0,0,0,1,0,0,177.5,0,2,0,0,1,0,0,0,0,0,1
0,73,2017,March,11,18,2,5,2,0,0,1,0,0,0,0,1,0,0,85.0,1,1,0,0,1,0,1,0,0,1,0
