IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,BookingChanges,Agent,Company,DaysInWaitingList,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Corporate,Direct,GDS,TA/TO,Deposit,RoomTypeDifference,Contract,Group,Transient,Transient-Party
0,248,2017,April,15,9,2,0,2,0.0,0,1,0,0,0,0,1,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,1
1,192,2017,July,30,24,3,6,2,0.0,0,1,0,0,0,0,1,0,0,166.5,0,1,0,0,0,1,0,0,0,0,1,0
1,132,2016,December,49,3,2,2,3,0.0,0,1,0,0,0,2,1,0,0,119.0,0,1,0,0,0,1,0,0,0,0,1,0
1,60,2015,September,39,21,1,1,2,0.0,0,1,0,0,0,0,1,0,0,48.0,0,0,0,0,0,1,0,0,0,0,0,1
1,164,2017,May,20,15,1,2,1,0.0,0,1,0,0,0,0,0,0,0,160.0,0,0,0,0,0,1,1,0,0,0,1,0
1,168,2017,May,21,26,1,2,2,0.0,0,1,0,0,0,0,0,1,0,140.0,0,0,0,0,0,1,1,0,0,0,1,0
1,122,2015,July,29,13,1,0,2,0.0,0,1,0,0,0,0,1,0,0,76.5,0,2,0,0,0,1,0,0,0,0,0,1
1,103,2016,April,17,19,0,2,1,0.0,0,1,0,0,0,0,1,0,0,115.0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,2017,March,11,15,0,2,1,0.0,0,1,0,0,0,0,1,0,0,107.2,0,0,0,0,0,1,0,1,0,0,1,0
0,73,2016,April,15,3,2,1,2,0.0,0,0,0,0,0,0,1,0,0,76.5,0,1,0,0,0,1,0,0,0,0,1,0
0,12,2016,November,48,23,0,4,2,0.0,0,1,0,0,0,0,1,0,0,91.38,0,1,0,0,0,1,0,0,0,0,1,0
0,19,2015,October,43,21,0,1,2,2.0,0,1,0,0,0,0,1,0,0,174.25,0,0,0,0,0,1,0,0,0,0,1,0
1,437,2016,May,19,2,1,2,2,0.0,0,1,0,0,0,0,1,0,0,60.0,0,0,0,0,0,1,1,0,0,0,1,0
0,110,2015,December,50,9,0,4,2,0.0,0,1,0,0,0,0,1,0,69,70.0,0,0,0,0,0,1,0,0,0,0,0,1
1,55,2016,April,15,6,0,1,2,0.0,0,1,0,0,0,0,1,0,0,80.0,0,0,0,0,0,1,0,0,0,0,0,1
